Packet Sent:#70#Round Trip Time#304572#Encryption Time Sender#72#Encryption Time Sender#126#49632#49520#49520#Message:#102.6#   209#
Packet Sent:#71#Round Trip Time#307482#Encryption Time Sender#73#Encryption Time Sender#126#49520#49632#49632#Message:#105.1#   210#
Packet Sent:#72#Round Trip Time#303511#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.9#   209#
Packet Sent:#73#Round Trip Time#302528#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.6#   210#
Packet Sent:#74#Round Trip Time#301551#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#101.8#   210#
Packet Sent:#75#Round Trip Time#312619#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#103.8#   210#
Packet Sent:#76#Round Trip Time#297141#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#100.2#   210#
Packet Sent:#77#Round Trip Time#296140#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#99.25#   210#
Packet Sent:#78#Round Trip Time#302753#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#98.59#   210#
Packet Sent:#79#Round Trip Time#291785#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#97.28#   210#
Packet Sent:#80#Round Trip Time#312132#Encryption Time Sender#80#Encryption Time Sender#126#49632#49632#49632#Message:#98.61#   210#
Packet Sent:#81#Round Trip Time#289118#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.9#   210#
Packet Sent:#82#Round Trip Time#296137#Encryption Time Sender#72#Encryption Time Sender#126#49632#49520#49520#Message:#96.98#   210#
Packet Sent:#83#Round Trip Time#293264#Encryption Time Sender#72#Encryption Time Sender#126#49520#49632#49632#Message:#95.49#   209#
Packet Sent:#84#Round Trip Time#298116#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#96.82#   210#
Packet Sent:#85#Round Trip Time#297342#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#96.28#   210#
Packet Sent:#86#Round Trip Time#293654#Encryption Time Sender#72#Encryption Time Sender#125#49632#49632#49632#Message:#97.51#   209#
Packet Sent:#87#Round Trip Time#298830#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.0#   210#
Packet Sent:#88#Round Trip Time#302482#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#100.6#   210#
Packet Sent:#89#Round Trip Time#300177#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#101.6#   209#
Packet Sent:#90#Round Trip Time#305804#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.1#   210#
Packet Sent:#91#Round Trip Time#302912#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#101.0#   210#
Packet Sent:#92#Round Trip Time#297049#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#100.2#   210#
Packet Sent:#93#Round Trip Time#307079#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.1#   210#
Packet Sent:#94#Round Trip Time#303328#Encryption Time Sender#92#Encryption Time Sender#126#49632#49520#49520#Message:#101.2#   209#
Packet Sent:#95#Round Trip Time#302856#Encryption Time Sender#73#Encryption Time Sender#126#49520#49632#49632#Message:#102.5#   210#
Packet Sent:#96#Round Trip Time#307298#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#102.8#   210#
Packet Sent:#97#Round Trip Time#296923#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.7#   209#
Packet Sent:#98#Round Trip Time#306737#Encryption Time Sender#73#Encryption Time Sender#125#49632#49632#49632#Message:#102.6#   210#
Packet Sent:#99#Round Trip Time#302792#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#101.6#   210#
Packet Sent:#100#Round Trip Time#306592#Encryption Time Sender#72#Encryption Time Sender#125#49632#49632#49632#Message:#103.0#   209#
Packet Sent:#101#Round Trip Time#299937#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.5#   210#
Packet Sent:#102#Round Trip Time#298266#Encryption Time Sender#73#Encryption Time Sender#125#49632#49632#49632#Message:#100.9#   210#
Packet Sent:#103#Round Trip Time#299535#Encryption Time Sender#80#Encryption Time Sender#126#49632#49632#49632#Message:#100.6#   209#
Packet Sent:#104#Round Trip Time#300346#Encryption Time Sender#85#Encryption Time Sender#126#49632#49632#49632#Message:#101.0#   209#
Packet Sent:#105#Round Trip Time#311052#Encryption Time Sender#73#Encryption Time Sender#126#49632#49520#49520#Message:#101.5#   210#
Packet Sent:#106#Round Trip Time#294257#Encryption Time Sender#72#Encryption Time Sender#126#49520#49632#49632#Message:#100.1#   210#
Packet Sent:#107#Round Trip Time#297012#Encryption Time Sender#80#Encryption Time Sender#126#49632#49632#49632#Message:#98.74#   209#
Packet Sent:#108#Round Trip Time#297539#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#98.90#   209#
Packet Sent:#109#Round Trip Time#297762#Encryption Time Sender#84#Encryption Time Sender#126#49632#49632#49632#Message:#100.8#   209#
Packet Sent:#110#Round Trip Time#301851#Encryption Time Sender#73#Encryption Time Sender#126#49632#49632#49632#Message:#102.2#   210#
Packet Sent:#111#Round Trip Time#303120#Encryption Time Sender#72#Encryption Time Sender#125#49632#49632#49632#Message:#100.9#   210#
Packet Sent:#112#Round Trip Time#303169#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.5#   210#
Packet Sent:#113#Round Trip Time#307165#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#101.0#   210#
Packet Sent:#114#Round Trip Time#294499#Encryption Time Sender#84#Encryption Time Sender#125#49632#49632#49632#Message:#101.6#   210#
Packet Sent:#115#Round Trip Time#295786#Encryption Time Sender#72#Encryption Time Sender#126#49632#49632#49632#Message:#100.7#   210#
Packet Sent:#116#Round Trip Time#301602#Encryption Time Sender#81#Encryption Time Sender#125#49632#49632#49632#Message:#101.4#   210#
Packet Sent:#117#Round Trip Time#307578#Encryption Time Sender#72#Encryption Time Sender#126#49632#49520#49520#Message:#101.6#   210#
