Packet Sent:#120#Round Trip Time#166817#Encryption Time Sender#142#Encryption Time Sender#223#49624#49624#49624#Message:#11.19#   280#
Packet Sent:#121#Round Trip Time#167491#Encryption Time Sender#148#Encryption Time Sender#247#49624#49624#49624#Message:#11.31#   282#
Packet Sent:#122#Round Trip Time#165526#Encryption Time Sender#141#Encryption Time Sender#224#49624#49624#49624#Message:#11.14#   283#
Packet Sent:#123#Round Trip Time#164088#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.06#   271#
Packet Sent:#124#Round Trip Time#165655#Encryption Time Sender#142#Encryption Time Sender#226#49624#49624#49624#Message:#11.29#   275#
Packet Sent:#125#Round Trip Time#168690#Encryption Time Sender#144#Encryption Time Sender#243#49624#49624#49624#Message:#11.29#   284#
Packet Sent:#126#Round Trip Time#163920#Encryption Time Sender#141#Encryption Time Sender#225#49624#49624#49624#Message:#11.34#   270#
Packet Sent:#127#Round Trip Time#167205#Encryption Time Sender#149#Encryption Time Sender#247#49624#49512#49512#Message:#11.41#   276#
Packet Sent:#128#Round Trip Time#166689#Encryption Time Sender#141#Encryption Time Sender#220#49512#49624#49624#Message:#11.33#   283#
Packet Sent:#129#Round Trip Time#163218#Encryption Time Sender#144#Encryption Time Sender#243#49624#49624#49624#Message:#11.26#   260#
Packet Sent:#130#Round Trip Time#166225#Encryption Time Sender#143#Encryption Time Sender#226#49624#49624#49624#Message:#11.47#   284#
Packet Sent:#131#Round Trip Time#168045#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.55#   283#
Packet Sent:#132#Round Trip Time#163223#Encryption Time Sender#142#Encryption Time Sender#227#49624#49624#49624#Message:#11.23#   260#
Packet Sent:#133#Round Trip Time#165591#Encryption Time Sender#147#Encryption Time Sender#244#49624#49624#49624#Message:#11.22#   282#
Packet Sent:#134#Round Trip Time#183750#Encryption Time Sender#142#Encryption Time Sender#224#49624#49624#49624#Message:#11.34#   283#
Packet Sent:#135#Round Trip Time#150135#Encryption Time Sender#145#Encryption Time Sender#247#49624#49624#49624#Message:#11.33#   260#
Packet Sent:#136#Round Trip Time#164570#Encryption Time Sender#141#Encryption Time Sender#224#49624#49624#49624#Message:#11.14#   283#
Packet Sent:#137#Round Trip Time#168363#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.18#   265#
Packet Sent:#138#Round Trip Time#163601#Encryption Time Sender#146#Encryption Time Sender#228#49624#49624#49624#Message:#11.34#   284#
Packet Sent:#139#Round Trip Time#165940#Encryption Time Sender#145#Encryption Time Sender#243#49624#49624#49624#Message:#11.16#   275#
