⸮⸮Ƈ⸮,,V⸮L'k⸮&TY⸮z⸮⸮b|⸮ޗ⸮⸮t⸮⸮⸮5⸮⸮/⸮vB⸮0⸮',⸮eC⸮&⸮⸮քC⸮G⸮⸮V⸮⸮⸮`⸮⸮⸮:`⸮⸮&⸮-J⸮P⸮7fl|⸮⸮⸮`5
This is a long sentence that is encrypted and then transmitted using the MQTT protocol for test.

Packet Sent:#1#Round Trip Time#1001988#Encryption Time Sender#335#Decryption Time Sender#259#49592#49592#49592#Message:#98.28#  331 #
Packet Sent:#40#Round Trip Time#1005965#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#101.7#  328 #
Packet Sent:#41#Round Trip Time#1005838#Encryption Time Sender#330#Decryption Time Sender#294#49088#49088#49088#Message:#101.6#  327 #
Packet Sent:#42#Round Trip Time#1005753#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#102.1#  327 #
Packet Sent:#43#Round Trip Time#1006047#Encryption Time Sender#333#Decryption Time Sender#291#49088#49088#49088#Message:#101.9#  328 #
Packet Sent:#44#Round Trip Time#1006162#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#101.9#  324 #
Packet Sent:#45#Round Trip Time#1005645#Encryption Time Sender#330#Decryption Time Sender#295#49088#49088#49088#Message:#101.9#  330 #
Packet Sent:#46#Round Trip Time#1006067#Encryption Time Sender#337#Decryption Time Sender#295#49088#49088#49088#Message:#102.3#  328 #
Packet Sent:#47#Round Trip Time#1005989#Encryption Time Sender#333#Decryption Time Sender#294#49088#49088#49088#Message:#102.2#  326 #
Packet Sent:#48#Round Trip Time#1005676#Encryption Time Sender#334#Decryption Time Sender#294#49088#49088#49088#Message:#102.2#  327 #
Packet Sent:#49#Round Trip Time#1007676#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#102.4#  322 #
Packet Sent:#50#Round Trip Time#1005804#Encryption Time Sender#334#Decryption Time Sender#295#49088#49088#49088#Message:#102.5#  328 #
Packet Sent:#51#Round Trip Time#1005844#Encryption Time Sender#329#Decryption Time Sender#295#49088#49088#49088#Message:#102.2#  327 #
Packet Sent:#52#Round Trip Time#1005745#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#104.2#  327 #
Packet Sent:#53#Round Trip Time#1005983#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#102.3#  327 #
Packet Sent:#54#Round Trip Time#1006900#Encryption Time Sender#329#Decryption Time Sender#291#49088#48976#48976#Message:#102.4#  327 #
Packet Sent:#55#Round Trip Time#1002132#Encryption Time Sender#235#Decryption Time Sender#282#49088#49088#49088#Message:#102.1#  327 #
Packet Sent:#56#Round Trip Time#1005985#Encryption Time Sender#329#Decryption Time Sender#295#49088#49088#49088#Message:#102.0#  323 #
Packet Sent:#57#Round Trip Time#1005781#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#102.0#  327 #
Packet Sent:#58#Round Trip Time#1006403#Encryption Time Sender#330#Decryption Time Sender#290#49088#49088#49088#Message:#102.1#  327 #
Packet Sent:#59#Round Trip Time#1005986#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#102.2#  328 #
Packet Sent:#60#Round Trip Time#1005672#Encryption Time Sender#330#Decryption Time Sender#294#49088#49088#49088#Message:#101.8#  328 #
Packet Sent:#61#Round Trip Time#1002059#Encryption Time Sender#224#Decryption Time Sender#259#49088#49088#49088#Message:#102.1#  288 #
Packet Sent:#62#Round Trip Time#1005980#Encryption Time Sender#329#Decryption Time Sender#291#49088#49088#49088#Message:#102.1#  326 #
Packet Sent:#63#Round Trip Time#1005940#Encryption Time Sender#329#Decryption Time Sender#290#49088#49088#49088#Message:#101.9#  327 #
Packet Sent:#64#Round Trip Time#1005946#Encryption Time Sender#330#Decryption Time Sender#291#49088#49088#49088#Message:#102.2#  328 #
